Category,Subcategory,Activity Count
Skating,Skate 4 (3-6yrs),
Skating,Skate 4 (6-12yrs),
Skating,Skate 5 (6-12yrs),
Skating,Skate 6 (6-12yrs),
Skating,Skate Adapted School Age,
Skating,Skate Parent Participation 2-4yrs,
Spin,Fitness Spin Training Youth,7
Strength & Cardio,Fitness Small Group Training Youth,5
Swimming,Swim Adapted Lessons 3-12yrs,882
Swimming,Swim Adapted Lessons Parent Participation 3-6yrs,
Swimming,Swim Advanced 11-17yrs,
Swimming,Swim Beginner 10-17yrs,
Swimming,Swim Intermediate 11-17yrs,
Swimming,Swim Junior Masters 1 (11-17yrs),
Swimming,Swim Junior Masters 2 (11-17yrs),
Swimming,Swim Parent Participation 1 Guppies 6-18mos,
Swimming,Swim Parent Participation 2 Clownfish 18mos-3yrs,
Swimming,Swim Parent Participation Sea Otters 2-4yrs,
Swimming,Swim Tiny Tots 1 Tadpoles 3-6yrs,
Swimming,Swim Tiny Tots 2 Jellyfish 3-6yrs,
Swimming,Swim Tiny Tots 3 Seahorses 3-6yrs,
Swimming,Swim Tiny Tots 4 Seals 3-6yrs,
Swimming,Swim Tiny Tots 5 Sting Rays 3-6yrs,
Swimming,Swim Tiny Tots 6 Orcas 3-6yrs,
Swimming,Swimmer 1 (6-12yrs),
Swimming,Swimmer 2 (6-12yrs),
Swimming,Swimmer 3 (6-12yrs),
Swimming,Swimmer 4 (6-12yrs),
Swimming,Swimmer 5 (6-12yrs),
Swimming,Swimmer 6 (6-12yrs),
Swimming,Swimmer 7 - Rookie Patrol (8-12yrs),
Swimming,Swimmer 8 - Ranger Patrol (8-12yrs),
Swimming,Swimmer 9 - Star Patrol (8-12yrs),
Team Sports,Basketball School Age,109
Team Sports,Basketball Youth,
Team Sports,Soccer Move & Play Early Years,
Team Sports,Soccer Move & Play Parent Participation,
Team Sports,Soccer School Age,
Team Sports,Volleyball School Age,
Team Sports,Volleyball Youth,
Visual Arts,Art Workshops School Age,87
Visual Arts,Drawing School Age,
Visual Arts,Mixed Media Early Years,
Visual Arts,Mixed Media Parent Participation,
Visual Arts,Mixed Media School Age,
Visual Arts,Mixed Media Youth,
Visual Arts,Painting School Age,
Visual Arts,Painting Youth,
Yoga,Yoga Youth,5
Youth,Arts Music (10-18yrs),208
Youth,Arts Pottery (10-18yrs),
Youth,Arts Visual (10-18yrs),
Youth,Camps Full Day (10-18yrs),
Youth,Camps Part Day (10-18yrs),
Youth,Certifications & Leadership (10-18yrs),
Youth,Fitness Outdoor (10-18yrs),
Youth,Fitness Spin (10-18yrs),
Youth,Fitness Yoga (10-18yrs),
Youth,General Programs (10-18yrs),
Youth,Martial Arts (10-20yrs),
Youth,Sports (10-18yrs),
Youth,Swimming (10-18yrs),
Youth,Swimming - Aquatic Leadership (10-18yrs),
Youth,Tennis (10-18yrs),
